occur_datetime,shooting_time_15min,statistical_murder,latitude,longitude,distance_to_empire
2014-04-01 05:20:00,2014-04-01 05:15:00,False,40.86473505400005,-73.90523289599997,14549.810226402942
2014-04-01 17:15:00,2014-04-01 17:15:00,False,40.701407302000064,-73.98380700399997,5273.487362362851
2014-04-01 18:10:00,2014-04-01 18:00:00,False,40.83623610200005,-73.88732083399998,12755.406058446071
2014-04-01 18:10:00,2014-04-01 18:00:00,False,40.83623610200005,-73.88732083399998,12755.406058446071
2014-04-01 20:45:00,2014-04-01 20:45:00,True,40.63454980700004,-74.16514387899997,19774.363175669663
2014-04-01 20:45:00,2014-04-01 20:45:00,True,40.63454980700004,-74.16514387899997,19774.363175669663
2014-04-01 23:05:00,2014-04-01 23:00:00,False,40.89781901500004,-73.85261914799997,19984.76139552465
2014-04-02 00:55:00,2014-04-02 00:45:00,True,40.813807276000034,-73.94986189899998,7822.47521004277
2014-04-02 01:38:00,2014-04-02 01:30:00,False,40.70164684200006,-73.93801152399999,6593.68795295412
2014-04-02 18:53:00,2014-04-02 18:45:00,False,40.64885074700004,-73.95101651099996,11488.04855167884
2014-04-03 18:10:00,2014-04-03 18:00:00,False,40.83383498300003,-73.87698697799993,13141.937227067387
2014-04-03 18:10:00,2014-04-03 18:00:00,False,40.83383498300003,-73.87698697799993,13141.937227067387
2014-04-03 20:34:00,2014-04-03 20:30:00,False,40.69872336600002,-73.82175513399993,14875.08661945723
2014-04-05 18:00:00,2014-04-05 18:00:00,False,40.80967291400003,-73.92019211299998,8715.633399839717
2014-04-06 03:52:00,2014-04-06 03:45:00,False,40.65111641600004,-73.94331417999997,11429.192710784644
2014-04-06 16:45:00,2014-04-06 16:45:00,True,40.88365734900003,-73.84784635199996,18943.494488068485
2014-04-06 17:54:00,2014-04-06 17:45:00,True,40.70275857600007,-73.92311071199998,7335.265514746338
2014-04-06 20:39:00,2014-04-06 20:30:00,True,40.67316448900005,-73.90776791099995,10658.851183093078
2014-04-06 22:59:00,2014-04-06 22:45:00,True,40.64601702200008,-73.94905939299997,11834.883510740538
2014-04-07 18:19:00,2014-04-07 18:15:00,False,40.66248765700004,-73.90401356999996,11800.209879442084
2014-04-07 20:14:00,2014-04-07 20:00:00,False,40.63437592300005,-73.88398017099996,15332.631378858321
2014-04-07 21:31:00,2014-04-07 21:30:00,False,40.68148045300006,-73.923988835,9103.62524964755
2014-04-08 17:19:00,2014-04-08 17:15:00,False,40.643795055000055,-73.94979528699997,12058.097049447728
2014-04-09 16:40:00,2014-04-09 16:30:00,False,40.68401183900005,-73.85775597599996,12950.215521425782
2014-04-09 19:37:00,2014-04-09 19:30:00,False,40.82147190800004,-73.90527914999996,10526.294250545263
2014-04-09 22:20:00,2014-04-09 22:15:00,False,40.86345854800004,-73.90173915299994,14564.166597187424
2014-04-10 00:15:00,2014-04-10 00:15:00,False,40.82139271900007,-73.95414124099993,8489.071519310148
2014-04-10 02:00:00,2014-04-10 02:00:00,False,40.66757466800004,-73.90729486299993,11179.534383420962
2014-04-10 20:56:00,2014-04-10 20:45:00,False,40.800880121000034,-73.94095425899997,6894.851043622811
2014-04-10 21:06:00,2014-04-10 21:00:00,False,40.841628859000025,-73.91447303899997,11924.064447525965
2014-04-11 20:14:00,2014-04-11 20:00:00,False,40.58685679800004,-74.10082612899998,20470.893909007915
2014-04-11 23:02:00,2014-04-11 23:00:00,False,40.59267447000008,-73.79921697099996,23411.15508946872
2014-04-12 00:23:00,2014-04-12 00:15:00,False,40.67342988900003,-73.95016570099993,8893.968230774894
2014-04-12 02:30:00,2014-04-12 02:30:00,False,40.67135982000008,-73.88181102299995,12266.127105241403
2014-04-12 02:30:00,2014-04-12 02:30:00,False,40.67135982000008,-73.88181102299995,12266.127105241403
2014-04-12 08:01:00,2014-04-12 08:00:00,False,40.81770875700005,-73.92397324099994,9244.146790526998
2014-04-12 11:15:00,2014-04-12 11:15:00,True,40.76053053900006,-73.91884500199996,5757.641086024286
2014-04-12 20:57:00,2014-04-12 20:45:00,False,40.63681841100004,-74.118651775,16770.605224776064
2014-04-13 00:20:00,2014-04-13 00:15:00,False,40.79482493000006,-73.938619094,6458.282824796081
2014-04-13 00:50:00,2014-04-13 00:45:00,False,40.59790775500005,-73.79868427399998,23013.20891818946
2014-04-13 20:29:00,2014-04-13 20:15:00,False,40.823203400000075,-73.86341808599997,13188.422892564355
2014-04-14 00:10:00,2014-04-14 00:00:00,True,40.69514176600006,-73.97512662299994,6031.219263393908
2014-04-14 01:59:00,2014-04-14 01:45:00,False,40.66563477700004,-73.90969912199995,11238.269874696924
2014-04-14 02:15:00,2014-04-14 02:15:00,False,40.65887849300003,-73.95334829299996,10359.86135866935
2014-04-14 11:56:00,2014-04-14 11:45:00,False,40.64507943900002,-73.95802445399994,11764.163116396294
2014-04-14 11:56:00,2014-04-14 11:45:00,False,40.64507943900002,-73.95802445399994,11764.163116396294
2014-04-14 19:30:00,2014-04-14 19:30:00,False,40.86969215300008,-73.86573650699995,16796.6647124465
2014-04-14 20:03:00,2014-04-14 20:00:00,False,40.66604187100006,-73.90696536899996,11333.933220234308
2014-04-14 20:05:00,2014-04-14 20:00:00,False,40.69577825400006,-73.94579380499994,6777.77437388037
2014-04-14 20:05:00,2014-04-14 20:00:00,False,40.69577825400006,-73.94579380499994,6777.77437388037
2014-04-14 20:14:00,2014-04-14 20:00:00,False,40.74308855500004,-73.98637354699997,641.9352485681735
2014-04-14 20:49:00,2014-04-14 20:45:00,False,40.85745373800006,-73.84754299099995,16751.626248544104
